"","cont","cont.1","cont.2","cont.3","cont.4","cont.5","cont.6","disc","disc.1","disc.2","disc.3","disc.4","disc.5","disc.6","disc.7","disc.8","disc.9","disc.10","disc.11","disc.12"
"37",0.78571,0.37233,0,0.66667,0.21429,0,0,4,5,7,1,3,3,1,4,1,3,3,2,1
"38",0.25,0.11641,1,0.33333,0.32143,0,0,3,3,4,1,3,3,2,1,2,2,3,1,1
"39",0.10714,0.060565,0.33333,0.33333,0.32143,0,0,3,3,5,1,3,3,1,3,3,2,3,2,1
"40",0.089286,0.011615,1,0.66667,0.089286,0,0,2,3,4,1,3,3,1,1,3,2,3,1,1
"41",0.46429,0.13128,1,0.33333,0.19643,0,0,4,3,4,3,5,3,1,3,1,2,4,1,1
"42",0.14286,0.056289,0.66667,0,0.125,0,0,2,3,4,3,3,1,1,3,3,2,3,2,1
"43",0.25,0.37833,0.33333,1,0.44643,0,1,2,4,6,1,3,3,1,1,3,2,2,2,1
"44",0.46429,0.37724,0,1,0.089286,0.33333,0,1,5,2,2,4,4,1,3,3,1,3,1,1
"45",0.78571,0.37443,1,1,0.69643,0.33333,0,1,5,2,1,5,2,1,4,2,3,2,1,1
"46",0.125,0.071287,1,1,0.28571,0.33333,0,4,5,1,1,2,2,1,3,3,2,4,1,1
"47",0.57143,0.12911,1,1,0.35714,0,0,4,3,4,3,5,3,1,3,3,2,3,1,1
"48",0.035714,0.068671,0,0.33333,0.071429,0,0,1,3,2,3,1,2,1,2,3,1,1,2,1
"49",0.125,0.44368,0,1,0.35714,0.33333,0,4,5,1,1,3,3,1,2,3,2,2,1,1
"50",0.14286,0.11469,1,0.33333,0.16071,0,0,4,3,4,2,3,2,2,1,3,2,3,1,1
"51",0.35714,0.13128,1,0.33333,0.17857,0,0,2,4,3,5,2,3,1,2,1,2,2,1,1
"52",0.41071,0.36307,0,0.33333,0.19643,0.33333,0,2,4,2,1,5,3,1,3,3,2,4,2,1
"53",0.14286,0.062927,0.66667,0.33333,0.10714,0,0,4,3,4,1,3,3,1,3,3,2,3,1,1
"54",0.25,0.19797,0.33333,0,0.21429,0,0,4,3,2,5,3,3,1,2,3,2,3,2,1
"55",0.57143,0.12439,1,1,0.67857,0.33333,0,2,4,1,1,5,3,1,4,1,3,3,2,1
"56",0.035714,0.032357,0,0.33333,0.125,0,1,4,2,1,5,3,3,3,1,2,2,2,1,1
"57",0.14286,0.39518,0.33333,0,0.58929,0,0,2,3,4,5,1,3,1,4,3,2,4,2,1
"58",0.57143,0.59289,0.33333,0.33333,0.21429,0.33333,0,4,5,4,1,3,2,1,3,2,2,3,1,1
"59",0.25,0.10754,0.66667,0.33333,0.071429,0,0,3,3,1,1,5,2,1,3,3,2,4,1,1
"60",0.57143,0.37992,1,1,0.071429,0.33333,0,1,5,3,1,2,2,2,4,3,1,2,2,1
"61",0.089286,0.07116,0.33333,0,0.14286,0,0,2,3,10,1,3,4,1,1,1,2,3,2,1
"62",0.19643,0.080477,1,1,0.55357,0.33333,0,2,5,4,5,5,3,3,1,3,2,3,2,1
"63",0.57143,0.10703,1,1,0.75,0,0,2,1,10,1,5,3,1,4,3,3,4,2,1
"64",0.78571,0.90274,0.33333,0.33333,0.10714,0,0,2,1,10,1,3,3,1,3,3,2,3,2,1
"65",0.35714,0.1854,1,1,0.125,0,0,4,3,4,1,2,2,1,2,3,2,3,2,1
"66",0.41071,0.31361,1,1,0.51786,1,1,4,3,6,5,5,3,1,2,3,2,3,2,1
"67",0.14286,0.12094,0.33333,0.33333,0.17857,0,0,4,3,4,1,2,2,1,3,1,2,3,1,1
"68",0.14286,0.046653,1,0,0.053571,0,0,2,3,1,4,3,4,1,1,3,2,3,1,1
"69",0.57143,0.098475,1,1,0.32143,0,0,4,3,7,1,3,3,1,4,2,3,3,2,1
"70",0.57143,0.13517,1,1,0.10714,0,0,4,3,4,5,3,2,1,3,3,2,3,1,1
"71",0.57143,0.50144,0,0.33333,0.19643,0,0,4,3,2,1,3,2,1,2,1,2,3,1,1
"72",0.053571,0.028974,1,0.33333,0.48214,0.33333,0,4,5,4,5,5,3,1,2,3,1,2,2,1
"73",0.071429,0.056672,0.66667,1,0.57143,0.33333,1,1,5,11,1,5,3,1,4,1,3,4,2,1
"74",0.67857,0.36237,0.33333,0,0.39286,0.33333,0,2,5,10,1,4,2,1,1,1,2,2,1,1
"75",0.57143,0.10856,1,1,0.375,0,0,1,3,7,5,5,3,1,4,3,2,4,2,1
"76",0.14286,0.079775,1,1,0.83929,0.33333,0,1,5,2,1,5,3,1,4,3,3,4,1,1
"77",0.67857,0.23543,1,0.66667,0.26786,0,0,1,3,4,1,2,3,1,3,3,2,3,1,1
"78",0.125,0.28687,0.33333,1,0.57143,0,0,2,4,4,1,4,3,1,2,3,2,3,1,1
"79",0.89286,0.58459,0.33333,0.33333,0.35714,0,1,4,1,2,5,3,3,1,2,3,2,2,1,1
"80",0.46429,0.22694,0.33333,0,0.053571,0,0,2,3,3,1,2,4,1,2,3,2,3,1,1
"81",0.35714,0.36167,0,0,0.44643,0.33333,0,4,3,4,5,2,2,1,3,3,2,3,2,1
"82",0.19643,0.0598,1,0.66667,0.5,0,0,4,3,4,3,5,3,1,2,2,2,3,2,1
"83",0.25,0.082456,0.66667,1,0.089286,0,0,4,3,10,2,3,2,1,2,3,1,2,1,1
"84",0.35714,0.09439,1,1,0.69643,0,0,1,3,11,1,5,2,3,1,3,2,2,2,1
"85",0.10714,0.13013,0.66667,1,0.58929,0,0,1,3,4,1,5,3,1,1,3,2,2,1,1
"86",0.14286,0.0725,1,0.33333,0.17857,0.33333,0,4,5,10,1,3,2,3,1,3,2,4,2,1
"87",0.25,0.065033,1,0,0.14286,0.33333,0,2,5,3,1,2,2,1,2,3,2,3,1,1
"88",0.57143,0.78729,0,1,0.5,0,1,2,3,7,2,3,3,1,4,3,3,3,2,1
"89",0.25,0.12592,1,0.66667,0.19643,0,1,1,3,1,2,4,3,1,3,3,2,4,2,1
"90",0.14286,0.053098,1,0.66667,0.16071,0.33333,0,1,1,6,1,4,3,1,1,3,2,3,1,1
"91",0.14286,0.021827,1,1,0.66071,0,0,4,5,4,1,5,3,1,1,3,2,3,1,1
"92",0.14286,0.072308,1,0.66667,0.625,0,0,1,5,2,1,5,3,1,1,3,2,3,1,1
"93",0.14286,0.03325,1,0.66667,0.25,0,1,4,5,4,5,5,2,1,2,1,2,2,1,1
"94",0.35714,0.21322,1,1,0.017857,0.33333,0,3,5,3,5,5,3,2,4,3,1,3,1,1
"95",0.14286,0.066501,1,1,0.625,0,0,2,3,1,4,5,3,1,1,3,2,3,2,1
"96",0.89286,1,0.66667,1,0.69643,0,0,2,1,10,1,2,3,1,4,3,1,3,2,1
"97",0.14286,0.11079,1,0.33333,0.75,0,0,4,5,7,5,4,2,1,3,3,2,3,1,1
"98",0.25,0.14972,1,1,0.26786,0,0,2,3,10,2,3,3,1,3,3,2,3,1,1
"99",0.57143,0.13153,1,1,0.30357,0,0,2,5,4,1,5,3,1,1,3,2,3,1,1
"100",0.28571,0.43277,0.66667,1,0.30357,0.33333,1,2,4,2,5,4,3,1,2,1,1,4,2,1
"101",0.35714,0.076138,1,1,0.39286,0,0,4,3,1,2,5,4,1,1,3,1,2,1,1
"102",0.57143,0.13064,1,1,0.089286,0,0,2,3,4,1,4,3,1,3,3,1,3,1,1
"103",0.035714,0.041866,0.66667,0.33333,0.089286,0,0,4,4,4,1,3,2,1,1,3,2,3,1,1
"104",0.089286,0.10486,1,0.66667,0.28571,0,0,2,5,3,1,4,3,1,3,3,1,3,2,1
"105",0.14286,0.13843,0.33333,1,0.125,0,0,4,3,2,5,2,4,1,3,3,1,3,2,1
"106",0.35714,0.74427,0.33333,0.66667,0.35714,0.33333,1,2,5,11,1,3,3,2,3,3,2,4,2,1
"107",0.25,0.39454,0.33333,1,0.35714,0.33333,1,4,2,1,1,5,3,1,4,1,2,4,2,1
"108",0.14286,0.37029,0.33333,0.33333,0.23214,0,0,2,3,1,1,4,3,1,3,3,2,3,1,1
"109",0.35714,0.47514,0,0.33333,0.19643,0,0,1,3,3,5,2,2,1,2,3,2,3,2,2
"110",0.17857,0.072372,0,0.33333,0.28571,0,0,2,3,10,3,5,4,1,1,3,2,3,2,1
"111",0.035714,0.074861,0,0.33333,0.21429,0.33333,1,2,4,10,2,5,1,1,3,1,2,3,1,1
"112",0.19643,0.0074032,1,1,0.071429,0,0,3,3,7,1,2,2,1,2,3,1,3,2,1
"113",0.25,0.3819,0.66667,0.66667,0.16071,0,0,2,3,1,1,4,3,1,1,3,1,2,1,1
"114",0.57143,0.48369,1,0.33333,0.10714,0.33333,0,4,5,1,1,3,2,1,1,2,2,3,2,1
"115",0.14286,0.089604,0.66667,0,0.28571,0,0,1,3,4,3,5,4,1,1,3,2,3,1,1
"116",0.78571,0.21073,1,0,0.5,0,0,4,5,4,5,5,3,1,1,3,2,3,2,1
"117",0.67857,0.44023,1,0.66667,0.19643,0,0,1,3,4,5,4,2,1,3,3,2,4,2,1
"118",0.10714,0.11845,0.33333,0.66667,0.14286,0.33333,0,1,5,3,5,2,2,2,1,3,1,3,1,2
"119",0.51786,0.2556,0,1,0.071429,0.33333,0,1,5,3,3,3,2,1,3,3,2,3,1,1
"120",0.14286,0.13338,0.66667,0.66667,0.30357,0,0,2,5,1,3,4,1,1,3,3,2,4,2,1
"121",0.30357,0.099496,0.66667,0.33333,0.10714,0.33333,0,1,3,4,1,3,2,1,1,3,2,3,2,1
"122",0.35714,0.22924,1,0.33333,0.39286,0.33333,0,4,5,2,1,5,2,1,3,3,1,4,2,1
"123",0.14286,0.09522,0.66667,0.33333,0.089286,0,0,4,3,3,1,3,3,1,1,3,1,2,1,1
"124",0.10714,0.032229,1,1,0.78571,0.33333,0,3,5,1,1,5,3,1,4,3,3,3,2,1
"125",0.25,0.10518,1,0.66667,0.14286,0,0,2,3,3,5,2,2,1,1,3,1,3,1,1
"126",0.14286,0.11775,1,0.33333,0.19643,0.33333,0,1,5,1,1,3,3,1,2,3,2,3,1,1
"127",0.14286,0.027124,1,0.33333,0.375,0,0,1,3,4,1,3,4,1,1,3,2,2,1,1
"128",0.14286,0.023167,1,0.33333,0.19643,0,0,2,3,6,1,3,3,1,3,3,2,3,1,1
"129",0.14286,0.10109,1,0.33333,0.26786,0.33333,0,2,5,2,1,1,3,1,3,3,2,4,2,1
"130",0.14286,0.20569,0.66667,0.33333,0.17857,0.33333,0,1,5,1,1,3,2,2,1,3,2,3,1,1
"131",0.78571,0.52403,0,0.33333,0.089286,0,0,2,3,1,5,4,2,1,3,3,2,3,1,1
"132",0.57143,0.42192,1,0.66667,0.17857,0,0,1,4,7,1,3,3,1,2,2,2,3,2,1
"133",0.19643,0.15521,0.33333,0.66667,0.14286,0.33333,0,4,3,3,1,2,3,1,2,1,2,2,1,1
"134",0.25,0.10901,1,1,0.5,0.33333,0,4,3,3,1,3,3,1,4,1,3,3,1,1
"135",1,0.62978,0.33333,1,0.035714,0,0,4,3,4,2,4,2,1,1,3,2,3,2,1
"136",0.14286,0.061523,1,0.33333,0.33929,0.33333,0,4,5,4,5,5,2,1,1,3,2,3,2,1
"137",0.41071,0.53207,0.33333,0.33333,0.14286,0.33333,0,4,4,2,4,3,3,1,3,3,2,3,1,1
"138",0.14286,0.031272,1,0.66667,0.83929,0,0,2,3,4,3,3,3,1,1,3,2,2,1,1
"139",0.19643,0.15649,1,0.33333,0.28571,0.66667,0,2,5,4,5,4,3,3,1,1,2,3,2,1
"140",0.14286,0.10243,0.33333,0.33333,0.44643,0,0,3,3,4,1,3,2,1,3,3,1,2,2,1
"141",0.035714,0.027634,0.33333,0.33333,0.14286,0,0,3,3,1,4,2,4,1,1,3,2,1,1,2
"142",0.57143,0.2884,1,0,0.19643,0,0,2,3,4,1,2,2,1,4,3,2,4,2,1
"143",0.41071,0.2004,0.66667,0.33333,0.14286,0,0,1,3,4,1,3,3,1,3,3,2,4,1,1
"144",0.25,0.13951,0.33333,0.33333,0.053571,0,0,1,3,3,1,3,3,1,3,3,2,3,1,1
"145",0.30357,0.12841,1,1,0.071429,0,0,4,5,3,1,2,2,1,2,3,2,3,2,1
"146",0.78571,0.20997,1,0.33333,0.19643,0,0,2,2,10,2,4,3,1,3,3,2,3,1,1
"147",0.035714,0.037271,0,1,0.35714,0.33333,0,1,5,1,1,5,2,1,4,3,2,3,2,1
"148",0.14286,0.025911,1,0.66667,0.57143,0.33333,0,4,5,1,2,4,2,1,3,3,2,3,2,1
"149",0.57143,0.32516,0.66667,0.33333,0.16071,0.33333,0,1,5,3,1,3,3,3,2,3,2,3,1,1
"150",0.25,0.083349,1,1,0.48214,0.33333,0,4,5,4,4,5,3,1,3,3,2,3,1,1
"151",0.035714,0.068288,0.33333,1,0.41071,0,1,4,3,4,2,5,3,1,4,1,3,3,2,1
"152",0.10714,0.10518,0,1,0.33929,0,0,4,3,4,1,3,3,1,2,3,2,3,2,2
"153",0.57143,0.35561,1,0,0.089286,0,0,3,3,4,1,3,3,1,3,3,2,3,1,1
"154",0.35714,0.4775,0.33333,1,0.17857,0,0,2,5,2,4,5,2,1,4,3,1,3,1,1
"155",0.35714,0.42702,1,1,0.30357,0,0,2,4,10,2,4,3,1,3,3,1,4,2,1
"156",0.14286,0.064203,0.33333,1,0.017857,0,0,1,3,3,1,3,2,1,3,3,1,3,1,1
"157",0.089286,0.064586,0.66667,1,0.51786,0.33333,1,1,5,6,2,5,3,3,1,3,2,3,1,2
"158",0.14286,0.0040207,1,0,0.46429,0,0,1,2,9,1,5,4,1,3,1,2,2,1,1
"159",0.35714,0.20652,0.33333,0.66667,0.33929,0.33333,0,2,3,1,2,4,3,1,3,1,2,3,2,1
"160",0.035714,0.10352,0,0.33333,0.26786,0.33333,1,4,5,4,5,3,3,1,1,3,2,2,1,1
"161",0.35714,0.16568,0.66667,1,0.30357,0,1,4,5,4,2,5,3,1,1,3,2,3,2,1
"162",0.25,0.049716,1,0,0.19643,0.33333,0,4,5,1,1,2,2,1,2,3,2,3,1,1
"163",0.19643,0.062927,1,0.66667,0.30357,0.33333,0,4,3,5,3,4,3,1,2,3,2,3,2,1
"164",0.10714,0.44878,0.33333,1,0.91071,0,0,2,3,1,1,1,3,1,4,1,3,4,2,1
"165",0.57143,0.040398,1,1,0.30357,0,0,4,3,1,3,5,3,1,2,3,2,3,1,1
"166",0.035714,0.17244,0,0.33333,0.23214,0,0,4,3,3,3,3,3,1,3,3,2,3,2,1
"167",0.25,0.054566,1,0.33333,0.25,0,0,1,3,3,1,1,2,1,3,3,2,3,1,1
"168",0.125,0.08303,1,0,0.017857,0,0,2,3,3,4,2,2,1,1,3,2,3,1,1
"169",0.35714,0.23588,0.33333,1,0.10714,0,0,4,3,3,1,4,2,1,2,3,1,3,2,1
"170",0.35714,0.10588,1,1,0.21429,0.33333,0,2,5,10,1,5,1,1,1,3,2,3,2,1
"171",0.19643,0.043015,1,0.66667,0.25,0.33333,1,1,1,1,1,5,3,1,3,3,1,3,1,1
"172",0.14286,0.03108,1,0,0.125,0,0,4,3,3,1,3,2,1,1,3,2,3,2,1
"173",0.35714,0.11411,0.66667,0.33333,0.26786,0,0,2,4,3,1,1,2,1,2,3,2,4,2,1
"174",0.071429,0.072627,1,0.33333,0.25,0,0,2,3,4,1,3,3,3,1,3,2,3,1,2
"175",0.30357,0.20027,0.33333,0,0.125,0.33333,0,1,4,7,1,2,3,1,2,3,2,3,1,1
"176",0.46429,0.46008,1,0,0.60714,0,0,4,2,2,5,1,2,1,1,1,2,4,2,1
"177",0.14286,0.14685,0.33333,0,0.41071,0,0,1,3,3,1,3,1,1,3,3,2,3,1,1
"178",0.035714,0.0039569,1,1,0.58929,0.33333,0,1,5,4,3,5,3,1,3,3,2,3,1,1
"179",0.14286,0.10766,1,0.33333,0.21429,0.33333,1,4,3,4,1,4,3,1,3,3,1,4,2,1
"180",0.30357,0.018827,1,1,0.82143,0.33333,0,1,5,1,1,5,3,1,1,3,2,3,1,1
"181",0.57143,0.59327,0,0,0.16071,0.33333,0,4,4,10,1,2,1,1,3,3,2,3,1,1
"182",0.57143,0.2667,0.33333,0.33333,0.19643,0.33333,0,2,4,10,1,3,1,1,1,2,2,4,2,1
"183",0.30357,0.087498,1,0.33333,0.375,0.33333,1,1,2,1,5,3,3,1,2,3,2,2,1,1
"184",0.35714,0.22343,1,1,0.55357,0,0,4,5,3,4,3,3,1,1,3,2,3,2,1
"185",0.25,0.038803,1,1,0.30357,0,1,2,5,1,1,5,3,1,3,1,2,3,2,1
"186",0.19643,0.069181,1,0.33333,0.21429,0.33333,0,4,5,4,1,3,3,1,2,3,2,3,1,1
"187",0.089286,0.30972,0.33333,1,0.98214,0,1,2,2,2,1,5,2,1,4,1,3,4,2,1
"188",0.21429,0.057374,0.33333,0.66667,0.875,0.66667,0,2,5,1,1,1,3,1,3,3,3,1,2,1
"189",0.14286,0.0254,1,0,0.017857,0,0,1,3,4,2,4,4,1,2,3,2,3,1,1
"190",0.25,0.18942,0,1,0.25,0.33333,0,2,1,3,1,3,2,1,3,1,2,3,2,1
"191",0.35714,0.27538,0.33333,0.66667,0.625,0.66667,0,4,3,10,4,3,3,1,2,3,2,4,2,1
"192",0.78571,0.22771,1,1,0.26786,0,1,2,1,10,2,4,3,1,4,3,3,2,1,1
"193",0.41071,0.23224,1,0.33333,0.30357,0,1,2,3,10,1,3,3,1,3,3,2,3,2,1
"194",0.035714,0.11692,0.33333,0.33333,0.17857,0,0,4,3,4,1,4,4,1,1,3,1,3,1,1
"195",0.73214,0.17582,1,1,0.035714,0,0,2,3,4,2,3,3,3,2,3,1,3,1,1
"196",0.089286,0.07818,0.33333,0.66667,0.26786,0.33333,0,2,5,7,1,5,2,1,3,3,2,4,2,1
"197",0.035714,0.070585,0,0,0.16071,0.33333,0,4,5,4,1,3,2,1,3,3,2,3,2,1
"198",0.14286,0.043079,1,1,0.14286,1,0,2,3,3,2,2,2,1,3,1,1,3,1,1
"199",0.35714,0.15853,1,1,0.30357,0,0,2,3,2,5,5,3,1,4,1,3,3,2,1
"200",0.25,0.25662,1,0.66667,0.375,0,0,2,4,3,1,5,1,1,4,3,2,4,2,1
"201",0.089286,0.042121,1,0.33333,0.58929,0.33333,0,4,5,7,3,5,3,1,3,3,2,3,2,1
"202",0.14286,0.056928,1,0.66667,0.14286,0,0,1,3,1,1,3,4,1,1,3,2,2,1,1
"203",0.41071,0.30895,0.66667,1,0.125,0.33333,0,4,4,10,1,4,3,1,3,3,2,3,1,1
"204",0.14286,0.039951,1,1,0.035714,0,0,1,3,9,1,4,4,1,2,3,1,3,1,1
"205",0.14286,0.077797,1,0,0.33929,0.33333,1,4,5,1,1,5,3,1,1,3,2,2,1,1
"206",0.46429,0.66035,0.66667,1,0.33929,0.66667,1,1,5,2,1,5,3,1,4,3,3,4,2,1
"207",0.14286,0.10588,1,1,0.42857,0.66667,0,4,5,3,1,5,3,1,1,3,2,3,2,1
"208",0.14286,0.073266,1,0.66667,0.125,0,0,2,5,5,1,4,3,1,2,3,2,3,1,1
"209",0.35714,0.40156,0.33333,0.33333,0.035714,0,0,1,3,10,1,3,4,1,3,2,2,2,1,1
"210",0.14286,0.072564,0.66667,0.33333,0.64286,0,0,4,3,2,4,4,3,1,2,3,2,3,1,2
"211",0.089286,0.17857,0,0.33333,0.25,0.33333,1,4,5,4,5,3,3,1,1,3,2,3,1,1
"212",0.57143,0.22714,0.33333,1,0.46429,0,0,4,3,4,5,5,2,1,1,3,2,2,2,1
"213",0.41071,0.32019,0.33333,1,0.55357,0.33333,0,1,1,10,1,1,3,1,2,2,2,3,2,1
"214",0.46429,0.10415,1,1,0.83929,0,0,3,4,10,1,5,3,1,1,3,2,4,2,1
"215",0.57143,0.19567,1,0.33333,0.57143,0,0,4,5,4,5,5,3,1,3,3,2,3,2,1
"216",0.035714,0.041866,0,0.66667,0.35714,0.33333,0,2,5,9,5,4,2,1,2,3,2,2,1,1
"217",0.25,0.18048,0.66667,0,0.21429,0,0,1,1,10,1,4,3,1,2,1,2,3,2,1
"218",0.57143,0.23211,0.33333,0.33333,0.071429,0,0,3,3,4,1,3,3,1,1,3,2,3,2,1
"219",0.35714,0.17519,0.33333,0.33333,0.089286,0,0,1,3,3,1,3,1,1,1,3,1,2,1,1
"220",0.10714,0.069436,0.33333,1,0.80357,0,0,4,3,1,1,3,2,1,3,3,2,3,2,1
"221",0.14286,0.022273,1,0,0.125,0,0,2,3,4,1,2,4,3,1,1,2,2,1,1
"222",0.14286,0.05897,1,1,0.071429,0,0,1,3,7,5,3,2,1,2,1,1,3,2,1
"223",0.14286,0.027507,1,0.33333,0.19643,0.33333,0,4,3,4,1,3,3,1,1,1,2,3,1,1
"224",0.35714,0.17244,1,1,0.23214,0.33333,1,4,4,10,5,3,3,1,1,3,2,3,2,1
"225",0.19643,0.2796,0.66667,0.33333,0.19643,0,0,4,3,2,1,3,3,1,3,3,2,3,2,1
"226",0.57143,0.14915,1,0.33333,0.14286,0.33333,0,4,1,6,1,3,3,1,3,3,2,3,1,1
"227",0.78571,0.68192,0,0.33333,0.14286,0.33333,0,2,3,4,4,4,3,2,4,1,2,3,2,1
"228",0.14286,0.48433,1,1,0.60714,0,0,1,3,3,1,5,3,1,4,3,3,4,2,1
"229",0.089286,0.076712,1,0.33333,0.053571,0,0,4,3,4,1,4,3,1,3,3,2,3,1,1
"230",0.35714,0.18336,1,0,0.053571,0,0,1,3,3,1,2,3,1,4,1,3,3,1,1
"231",0.57143,0.25107,1,0.33333,0.125,0,0,3,3,4,1,3,3,1,3,3,2,3,1,1
"232",0.089286,0.14238,0.33333,1,0.57143,0,0,4,3,1,3,5,3,1,4,3,3,2,1,1
"233",0.14286,0.11902,0.66667,0,0.28571,0,0,4,3,4,2,4,3,1,4,3,2,3,1,1
"234",0.25,0.037654,1,0.33333,0.10714,0,0,2,3,4,1,3,4,3,1,3,2,2,1,1
"235",0,0.080924,0.33333,0,0.41071,0.66667,1,4,5,4,1,4,3,1,1,3,2,2,1,1
"236",0.35714,0.09873,1,0.33333,0.19643,0,1,1,3,4,1,1,3,1,3,2,2,4,1,1
"237",0.035714,0.91129,0,0.33333,0.071429,0,0,2,3,1,5,1,3,1,2,3,2,1,2,1
"238",0.30357,0.15898,1,0.33333,0.75,0.33333,0,2,3,10,2,5,1,1,3,1,1,2,1,1
"239",0.14286,0.064778,1,0.33333,0.28571,0.33333,0,4,5,4,1,3,2,1,2,3,2,3,1,1
"240",0.46429,0.14334,0,0.66667,0.35714,0,1,1,3,4,1,5,3,3,2,3,2,3,1,1
"241",0.35714,0.040781,1,0.33333,0.17857,0,0,1,3,1,5,5,2,1,3,1,2,3,1,1
"242",0.035714,0.084179,0.66667,0.33333,0.57143,0,1,4,3,4,1,4,3,1,2,3,2,3,1,1
"243",0.78571,0.27628,0.66667,1,0.089286,0.33333,1,1,1,2,1,5,3,1,4,3,3,3,1,1
"244",0.14286,0.058013,0.66667,0.33333,0.14286,0.33333,0,4,5,10,1,3,2,1,1,3,2,3,1,1
"245",0.14286,0.20237,1,0.66667,0.28571,0,1,4,2,9,3,3,2,1,1,3,2,2,1,1
"246",0.35714,0.062672,1,0,0.10714,0,0,4,3,10,1,4,3,1,1,3,2,3,2,1
"247",0.14286,0.028145,1,1,0.58929,0.66667,0,4,5,4,1,5,3,1,1,3,2,3,1,1
"248",0.035714,0.059225,1,0,0.28571,0,0,4,1,1,2,3,3,1,4,1,1,3,1,2
